,,Section 0,,,,,,,,,,Section I,,,,,,,,Section II,,,,,,,,,,,,,,Section III,,Section IV,,,,,,,,,,,Section V,,,,,,,,,,,Section VI,,,,,,,,,,,Section VII,,,,,,,,,,,,,Section VIII,,,,,,,Section IX,,,,,,,,,,,,Section X,,,,,,,,,,,,,,,,,,,,Section XI,,,,,,,,,
multicolor,north-east Africa,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Pale and dark areas on wing about equally distributed, humeral and presector pale spots present on costa",,,,"Basal pale band of maxillary palpus either much shorter than median band, scarcely overlapping base of 3rd segment, or both basal and median pale bands very narrow",Base of costa pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
listeri,southern Africa,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Pale and dark areas on wing about equally distributed, humeral and presector pale spots present on costa",,,,"Basal pale band of maxillary palpus either much shorter than median band, scarcely overlapping base of 3rd segment, or both basal and median pale bands very narrow",Base of costa dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azevedoi,south-western Africa,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Pale and dark areas on wing about equally distributed, humeral and presector pale spots present on costa",,,,"Basal pale band of maxillary palpus either much shorter than median band, scarcely overlapping base of 3rd segment, or both basal and median pale bands very narrow",Base of costa dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seretsei,Botswana,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Pale and dark areas on wing about equally distributed, humeral and presector pale spots present on costa",,,,"Basal pale band of maxillary palpus either much shorter than median band, scarcely overlapping base of 3rd segment, or both basal and median pale bands very narrow",Base of costa dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christyi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with 4 pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd main dark area of wing vein 1 with a pale interruption,Abdominal terga clothed with yellowish scales; hindtarsomeres 1 to 4 with broad apical pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garnhami,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with 4 pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd main dark area without a pale interruption,,2nd main dark area of wing vein 1 with 1 pale interruption,"Pale bands on maxillary palpus mostly narrow, basal band not overlapping base of 3rd segment","Pale fringe spots on wing present opposite veins posterior to vein 3, sometimes including vein 6; femora and tibiae not speckled","Stem of wing vein 5 pale, at and adjacent to the fork",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demeilloni (Berg River form),,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with 4 pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd main dark area without a pale interruption,,2nd main dark area of wing vein 1 with 1 pale interruption,"Pale bands on maxillary palpus mostly narrow, basal band not overlapping base of 3rd segment","Pale fringe spots on wing present opposite veins posterior to vein 3, sometimes including vein 6; femora and tibiae not speckled",Fork of wing vein 5 dark,Wing length 4 mm or less; decumbent scutal scales not extending onto scutellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carteri,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,,,Wing with 2 pale spots on upper branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd main dark area without a pale interruption,,2nd main dark area of wing vein 1 with 1 pale interruption,"Pale bands on maxillary palpus mostly narrow, basal band not overlapping base of 3rd segment","Pale fringe spots on wing present opposite veins posterior to vein 3, sometimes including vein 6; femora and tibiae not speckled",Fork of wing vein 5 dark,Wing length 4.4 mm or more; some decumbent scales present on scutellum as well as scutum,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,"Subapical pale band on maxillary palpus broad, about equal to or longer than apical dark band",Bases of hindtarsomeres dark,,,,Apices of hindtarsomeres 3 and 4 dark or at most with a few pale scales,Base of costa with 2 pale interruptions,,"Scutal scales fairly broad, extending over whole scutum and onto scutellum",,,,,,,,,,,,,,,,,,,,
seydeli,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely pale, hindtarsomere 4 with broad apical and basal pale bands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mortiauxi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands","Upper branch of wing vein 5 with 1 pale spot, sometimes a vestigial 2nd pale spot",Pale fringe spot present opposite wing vein 6; foretarsomeres 1 to 4 with conspicuous basal and apical pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berghei,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands","Upper branch of wing vein 5 with 1 pale spot, sometimes a vestigial 2nd pale spot",No pale fringe spot opposite wing vein 6; foretarsomeres 1 to 4 narrowly pale apically only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brunnipes,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus very narrow, confined to apex of 3rd segment",Wing with base of costa with 2 pale interruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harperi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres either all dark or with pale bands on tarsomeres 1 and 2 only,Scutal fossae and lateral areas of scutum above wing root (supraalar area) without scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
njombiensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres either all dark or with pale bands on tarsomeres 1 and 2 only,Scutal fossae and lateral areas of scutum above wing root (supraalar area) with scattered or abundant broadish scales,Subapical pale band on maxillary palpus about equal to or slightly shorter than apical band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austenii,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres 1 to 4 with well-marked apical pale bands,,,"Apical pale bands on hindtarsomeres 1 to 4 very broad, at least twice the apical width of the tarsomeres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gibbinsi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres 1 to 4 with well-marked apical pale bands,,,"Hindtarsomeres 1 to 4 with narrow pale bands, as long or shorter than the width of the tarsomeres",Wing vein 3 largely dark or broadly dark at either end; scutal scales very narrow and golden,Scutal scales as in D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hargreavesi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres 1 to 4 with well-marked apical pale bands,,,"Hindtarsomeres 1 to 4 with narrow pale bands, as long or shorter than the width of the tarsomeres",,Scutal scales as in A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mousinhoi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres 1 to 4 with well-marked apical pale bands,,,"Hindtarsomeres 1 to 4 with narrow pale bands, as long or shorter than the width of the tarsomeres",Wing vein 3 narrowly dark at ends; scutal scales various,Scutal scales as in B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marshallii,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres 1 to 4 with well-marked apical pale bands,,,"Hindtarsomeres 1 to 4 with narrow pale bands, as long or shorter than the width of the tarsomeres",Wing vein 3 narrowly dark at ends; scutal scales various,Scutal scales as in C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
letabensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres 1 to 4 with well-marked apical pale bands,,,"Hindtarsomeres 1 to 4 with narrow pale bands, as long or shorter than the width of the tarsomeres",Wing vein 3 narrowly dark at ends; scutal scales various,Scutal scales as in C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kosiensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres 1 to 4 with well-marked apical pale bands,,,"Hindtarsomeres 1 to 4 with narrow pale bands, as long or shorter than the width of the tarsomeres",Wing vein 3 narrowly dark at ends; scutal scales various,Scutal scales as in C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hughi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas present on vein 1,"Hindtarsomere 5 entirely dark, hindtarsomere 4 with narrow apical and basal pale bands",Upper branch of wing vein 5 with 2 well-developed pale spots,,"Subapical pale band on maxillary palpus broad, overlapping apex of 3rd and base of 4th segment",,Hindtarsomeres 1 to 4 with well-marked apical pale bands,,,"Hindtarsomeres 1 to 4 with narrow pale bands, as long or shorter than the width of the tarsomeres",Wing vein 3 narrowly dark at ends; scutal scales various,Scutal scales as in C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabonensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,3rd main dark area without pale interruption,Wing with 2 pale spots on upper branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with only apical pale band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domicolus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,3rd main dark area without pale interruption,Wing with 2 pale spots on upper branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,"Subapical pale band on maxillary palpus broad, about equal to or longer than apical dark band","Apical pale band on hindtarsomere 4, and sometimes on hindtarsomeres 2 and 3, extending onto bases of succeeding tarsomeres",2nd main dark area on wing vein 1 with 1 pale interruption; bases of hindtarsomeres 4 and 5 at most narrowly pale,"Base of costa with 1 pale interruption, 3rd main dark area on costa and vein 1 much broader than subcostal pale spot",,,,,,,,,,,,,,,,,,,,,,,,,
lloreti,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,3rd main dark area without pale interruption,Wing with 2 pale spots on upper branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,"Subapical pale band on maxillary palpus broad, about equal to or longer than apical dark band","Apical pale band on hindtarsomere 4, and sometimes on hindtarsomeres 2 and 3, extending onto bases of succeeding tarsomeres",2nd main dark area on wing vein 1 with 1 pale interruption; bases of hindtarsomeres 4 and 5 at most narrowly pale,"Base of costa with 2 pale interruptions, 3rd main dark area equal to or narrower than subcostal pale spot",Pale fringe spot present opposite wing vein 6,,,,,,,,,,,,,,,,,,,,,,,,
barberellus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,3rd main dark area without pale interruption,Wing with 2 pale spots on upper branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,"Subapical pale band on maxillary palpus broad, about equal to or longer than apical dark band","Apical pale band on hindtarsomere 4, and sometimes on hindtarsomeres 2 and 3, extending onto bases of succeeding tarsomeres",2nd main dark area on wing vein 1 with 1 pale interruption; bases of hindtarsomeres 4 and 5 at most narrowly pale,"Base of costa with 2 pale interruptions, 3rd main dark area equal to or narrower than subcostal pale spot",No pale fringe spot opposite vein 6,,,,,,,,,,,,,,,,,,,,,,,,
